"painting","paintingLabel","artist","artistLabel","year","image","article","artistArticle"
"http://www.wikidata.org/entity/Q114289635","Johan Unger","http://www.wikidata.org/entity/Q2610236","Johannes Flintoe","1831-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Flintoe%20-%20Johan%20Unger%20-%20Norsk%20portrettarkiv%20-%20Riksantikvaren%20-%20U000026%20%28cropped%29.jpg","","https://no.wikipedia.org/wiki/Johannes_Flintoe"
"http://www.wikidata.org/entity/Q114615290","Jonas Angell","http://www.wikidata.org/entity/Q11995591","Philip Henrich Kriebel","1823-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Jonas%20Angell%20%281742%20-%201828%29%20%282718833543%29.jpg","","https://no.wikipedia.org/wiki/Philip_Henrich_Kriebel"
"http://www.wikidata.org/entity/Q22071525","Julie Vogel i hagen","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1800-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Julie%20Vogel%20i%20hagen%201825-1828.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q21980567","Kanonskudd","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1831-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Christian%20Dahl%20-%20Smoke%20from%20Cannon%20Shots%20-%20NG.M.00426-012%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q97018725","Karen Mathea Stoltenberg","http://www.wikidata.org/entity/Q6514975","Mathias Stoltenberg","1826-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/M%20Stoltenberg%20K.M.%20Stoltenberg%201820-%C3%A5rene.jpg","","https://no.wikipedia.org/wiki/Matthias_Stoltenberg"
"http://www.wikidata.org/entity/Q135225375","Karl Johans Klev","http://www.wikidata.org/entity/Q2272816","Peder Balke","1831-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Balke%20Carl%20Johans%20Klev%201831.JPG","","https://no.wikipedia.org/wiki/Peder_Balke"
"http://www.wikidata.org/entity/Q22031266","Kvinne og barn ved elvebredd","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1823-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Christian%20Dahl%20-%20Woman%20and%20Child%20on%20a%20River%20Bank%20-%20Google%20Art%20Project.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q57271897","Kysten nær Castellammare i morgen tåke","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1822-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Christian%20Claussen%20Dahl%20-%20Kysten%20n%C3%A6r%20Castellammare%20i%20morgen%20t%C3%A5ke.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q56676162","Landscape","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1806-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Christian%20Dahl%20-%20Fiord%20Landscape%20-%20Landskap%20-%20KODE%20Art%20Museums%20and%20Composer%20Homes%20-%20BB.M.00791.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q21985461","Landscape from Pedersborg near Sorø. Pedersborg Church","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1832-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Pedersborg%20%28I.C.%20Dahl%29.JPG","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q55411820","Landscape from Sogn","http://www.wikidata.org/entity/Q1508306","Knud Baade","1832-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Knud%20Baade%20-%20Landscape%20from%20Sogn%20-%20NG.M.02644%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/Knud_Baade"
"http://www.wikidata.org/entity/Q113625480","Landscape near Innsbruck","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1823-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Christian%20Dahl%20-%20Landschaft%20bei%20Innsbruck%20-%20ZKG.2018-0008%20-%20Kunsthaus%20Z%C3%BCrich.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
